Title,Company,Location,Date,Link
"AI 개발(Python), 데이터분석 및 사업 기획 인턴 모집",(주)마크클라우드,서울 강남구,~ 09/12(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51285321&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
2025년 하반기 딥러닝/머신러닝/연구원/Python外 모집 공고,한림대학교산학협력단,서울 영등포구,~ 08/23(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51384520&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
Python 개발자 채용,(주)엠클라우독,서울 강남구,~ 09/19(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51345257&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,플러거,서울 구로구,~ 08/25(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51131686&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
[Python] 엔지엘 기업부설연구소 AI 개발자 모집,엔지엘㈜,부산 동구,~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370257&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
파이썬(Python) 기반의 풀스택 개발자 모십니다.,(주)케이엘피,서울 강남구,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51382360&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
"[플랜아이] 개발자 채용 PHP WEB, AI(Python)",(주)플랜아이,대전 유성구,~ 09/12(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51287010&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
Python 개발자 경력 채용,(주)씨어스테크놀로지,경기 성남시 분당구,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51310902&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
Python 및 인공지능(AI) 개발자 채용(경력 / 계약직),나라아이넷(주),대전 유성구,~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51323236&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
"Java 웹개발자 모집 - 스마트팩토리, MES, Python 경력 우대",건솔루션(주),경기 안양시 만안구,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51356691&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
차량용 S/W Test 자동화 검증(Python),(주)링크제니시스,인천 서구,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51275605&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
"[미소정보기술] JAVA, Python 및 인공지능(AI) 플랫폼 개발자",(주)미소정보기술,서울 강남구,~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50959470&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=ee25740e-e4f5-4b9b-bbc4-83510a3b0d82
